animal	Length	Family	Sire	Dam	Salinity	SireID	DamID	Protein	HC	TG	FA	CH	PL
54	0.068	AB	L	L	H	SL3	DL2	8.033930835	22.32794721	309.8825289	35.30164742	12.72608688	832.6206283
55	0.079	AB	L	L	H	SL3	DL2	8.033930835	22.32794721	309.8825289	35.30164742	12.72608688	832.6206283
56	0.078	AB	L	L	H	SL3	DL2	8.033930835	22.32794721	309.8825289	35.30164742	12.72608688	832.6206283
57	0.085	AB	L	L	H	SL3	DL2	8.033930835	22.32794721	309.8825289	35.30164742	12.72608688	832.6206283
58	0.08	AB	L	L	H	SL3	DL2	8.033930835	22.32794721	309.8825289	35.30164742	12.72608688	832.6206283
59	0.068	AB	L	L	H	SL3	DL2	8.033930835	22.32794721	309.8825289	35.30164742	12.72608688	832.6206283
60	0.079	AB	L	L	H	SL3	DL2	8.033930835	22.32794721	309.8825289	35.30164742	12.72608688	832.6206283
61	0.06	AB	L	L	H	SL3	DL2	8.033930835	22.32794721	309.8825289	35.30164742	12.72608688	832.6206283
62	0.083	AB	L	L	H	SL3	DL2	8.033930835	22.32794721	309.8825289	35.30164742	12.72608688	832.6206283
63	0.077	AB	L	L	H	SL3	DL2	8.033930835	22.32794721	309.8825289	35.30164742	12.72608688	832.6206283
64	0.078	AB	L	L	H	SL3	DL2	8.033930835	22.32794721	309.8825289	35.30164742	12.72608688	832.6206283
65	0.069	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
66	0.078	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
67	0.086	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
68	0.074	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
69	0.071	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
70	0.069	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
71	0.08	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
72	0.072	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
73	0.076	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
74	0.084	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
75	0.082	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
76	0.099	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
77	0.087	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
78	0.086	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
79	0.072	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
80	0.086	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
81	0.08	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
82	0.073	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
83	0.064	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
84	0.078	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
85	0.089	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
86	0.091	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
87	0.07	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
88	0.08	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
89	0.074	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
90	0.076	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
91	0.086	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
92	0.086	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
93	0.089	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
94	0.083	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
95	0.077	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
96	0.093	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
97	0.082	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
98	0.082	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
99	0.076	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
100	0.075	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
101	0.083	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
102	0.085	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
103	0.084	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
104	0.087	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
105	0.081	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
106	0.083	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
107	0.057	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
108	0.086	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
109	0.094	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
110	0.08	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
111	0.084	AD	L	H	L	SL3	DH2	32.18848213	20.03347293	236.100194	34.69815859	9.642277769	576.8695152
