animal	Length	Family	Sire	Dam	Salinity	SireID	DamID	Protein	HC	TG	FA	CH	PL
510	0.105	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
511	0.096	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
512	0.112	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
513	0.08	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
514	0.104	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
515	0.094	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
516	0.097	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
517	0.073	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
518	0.076	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
519	0.104	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
520	0.087	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
521	0.1	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
522	0.098	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
523	0.093	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
524	0.102	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
525	0.092	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
526	0.091	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
527	0.1	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
528	0.098	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
529	0.087	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
530	0.098	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
531	0.073	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
532	0.087	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
533	0.102	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
534	0.091	AY	L	L	H	SL6	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
535	0.087	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
536	0.101	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
537	0.066	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
538	0.08	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
539	0.09	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
540	0.082	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
541	0.079	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
542	0.099	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
543	0.062	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
544	0.081	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
545	0.07	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
546	0.095	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
547	0.07	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
548	0.066	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
549	0.094	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
550	0.086	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
551	0.072	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
552	0.087	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
553	0.072	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
554	0.068	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
555	0.091	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
556	0.066	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
557	0.076	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
558	0.073	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
559	0.078	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
560	0.085	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
561	0.086	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
562	0.08	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
563	0.068	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
564	0.082	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
565	0.095	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
566	0.069	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
567	0.08	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
568	0.085	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
569	0.085	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
570	0.064	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
571	0.063	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
572	0.099	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
573	0.098	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
574	0.087	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
575	0.078	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
576	0.103	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
577	0.079	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
578	0.091	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
579	0.089	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
580	0.094	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
581	0.079	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
582	0.102	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
583	0.096	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
584	0.105	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
585	0.09	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
586	0.081	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
587	0.093	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
588	0.101	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
589	0.087	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
590	0.109	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
591	0.105	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
592	0.094	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
593	0.085	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
594	0.076	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
595	0.104	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
596	0.073	AZ	L	L	H	SL6	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
597	0.112	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
598	0.095	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
599	0.055	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
600	0.065	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
601	0.066	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
602	0.055	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
603	0.069	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
604	0.06	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
605	0.111	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
606	0.058	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
607	0.056	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
608	0.07	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
609	0.057	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
610	0.064	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
611	0.075	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
612	0.066	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
613	0.054	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
614	0.072	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
615	0.066	BA	L	H	L	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
616	0.058	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
617	0.061	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
618	0.055	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
619	0.054	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
620	0.059	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
621	0.054	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
622	0.059	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
623	0.062	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
624	0.059	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
625	0.057	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
626	0.062	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
627	0.056	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
628	0.052	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
629	0.056	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
630	0.069	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
631	0.061	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
632	0.058	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
633	0.065	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
634	0.065	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
635	0.055	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
636	0.051	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
637	0.052	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
638	0.069	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
639	0.061	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
640	0.072	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
641	0.071	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
642	0.058	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
643	0.049	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
644	0.074	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
645	0.056	BA	L	H	H	SL6	DH4	6.03529403	9.487816444	133.5677962	25.07849131	9.064226025	535.3496555
646	0.112	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
647	0.095	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
648	0.055	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
649	0.065	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
650	0.066	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
651	0.055	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
652	0.069	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
653	0.06	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
654	0.111	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
655	0.058	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
656	0.056	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
657	0.07	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
658	0.057	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
659	0.064	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
660	0.075	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
661	0.066	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
662	0.054	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
663	0.072	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
664	0.066	BB	L	H	L	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
665	0.058	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
666	0.061	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
667	0.055	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
668	0.054	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
669	0.059	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
670	0.054	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
671	0.059	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
672	0.062	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
673	0.059	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
674	0.057	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
675	0.062	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
676	0.056	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
677	0.052	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
678	0.056	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
679	0.069	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
680	0.061	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
681	0.058	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
682	0.065	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
683	0.065	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
684	0.055	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
685	0.051	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
686	0.052	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
687	0.069	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
688	0.061	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
689	0.072	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
690	0.071	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
691	0.058	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
692	0.049	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
693	0.074	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
694	0.056	BB	L	H	H	SL6	DH5	24.14844423	19.33408758	322.2784505	41.19420361	14.7159089	505.3502676
695	0.086	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
696	0.064	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
697	0.058	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
698	0.084	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
699	0.071	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
700	0.082	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
701	0.07	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
702	0.077	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
703	0.068	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
704	0.078	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
705	0.069	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
706	0.076	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
707	0.075	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
708	0.083	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
709	0.068	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
710	0.067	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
711	0.061	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
712	0.073	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
713	0.079	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
714	0.07	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
715	0.058	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
716	0.062	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
717	0.073	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
718	0.09	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
719	0.086	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
720	0.08	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
721	0.071	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
722	0.063	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
723	0.05	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
724	0.071	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
725	0.06	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
726	0.075	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
727	0.065	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
728	0.063	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
729	0.058	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
730	0.071	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
731	0.065	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
732	0.067	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
733	0.09	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
734	0.072	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
735	0.07	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
736	0.072	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
737	0.075	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
738	0.074	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
739	0.074	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
740	0.062	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
741	0.067	BC	H	L	L	SH12	DL8	11.34431326	17.87593418	210.0111966	27.03479818	12.13901606	434.8220845
742	0.068	BD	H	L	L	SH12	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
743	0.06	BD	H	L	L	SH12	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
744	0.054	BD	H	L	L	SH12	DL9	28.47148328	22.29179861	223.8570989	35.70946486	13.92805352	604.9457956
