animal	Length	Family	Sire	Dam	Salinity	SireID	DamID
138	0.07	AD	L	H	H	SL3	DH2
139	0.08	AD	L	H	H	SL3	DH2
140	0.074	AD	L	H	H	SL3	DH2
141	0.076	AD	L	H	H	SL3	DH2
142	0.086	AD	L	H	H	SL3	DH2
143	0.086	AD	L	H	H	SL3	DH2
144	0.089	AD	L	H	H	SL3	DH2
145	0.083	AD	L	H	H	SL3	DH2
146	0.077	AD	L	H	H	SL3	DH2
147	0.093	AD	L	H	H	SL3	DH2
148	0.082	AD	L	H	H	SL3	DH2
149	0.082	AD	L	H	H	SL3	DH2
150	0.076	AD	L	H	H	SL3	DH2
151	0.075	AD	L	H	H	SL3	DH2
152	0.083	AD	L	H	H	SL3	DH2
153	0.085	AD	L	H	H	SL3	DH2
154	0.084	AD	L	H	H	SL3	DH2
155	0.087	AD	L	H	H	SL3	DH2
156	0.081	AD	L	H	H	SL3	DH2
157	0.083	AD	L	H	H	SL3	DH2
158	0.057	AD	L	H	H	SL3	DH2
159	0.086	AD	L	H	H	SL3	DH2
160	0.094	AD	L	H	H	SL3	DH2
161	0.08	AD	L	H	H	SL3	DH2
162	0.084	AD	L	H	H	SL3	DH2
163	0.075	AD	L	H	H	SL3	DH2
164	0.085	AD	L	H	H	SL3	DH2
165	0.075	AD	L	H	H	SL3	DH2
166	0.08	AD	L	H	H	SL3	DH2
167	0.058	AU	H	L	L	SH11	DL4
168	0.065	AU	H	L	L	SH11	DL4
169	0.065	AU	H	L	L	SH11	DL4
170	0.068	AU	H	L	L	SH11	DL4
171	0.07	AU	H	L	L	SH11	DL4
172	0.087	AU	H	L	L	SH11	DL4
173	0.069	AU	H	L	L	SH11	DL4
174	0.073	AU	H	L	L	SH11	DL4
175	0.069	AU	H	L	L	SH11	DL4
176	0.064	AU	H	L	L	SH11	DL4
177	0.08	AU	H	L	L	SH11	DL4
178	0.05	AU	H	L	L	SH11	DL4
179	0.08	AU	H	L	L	SH11	DL4
180	0.071	AU	H	L	L	SH11	DL4
181	0.081	AU	H	L	L	SH11	DL4
182	0.075	AU	H	L	L	SH11	DL4
183	0.067	AU	H	L	L	SH11	DL4
184	0.061	AU	H	L	L	SH11	DL4
185	0.076	AU	H	L	L	SH11	DL4
186	0.077	AU	H	L	L	SH11	DL4
187	0.077	AU	H	L	L	SH11	DL4
188	0.049	AU	H	L	L	SH11	DL4
189	0.059	AU	H	L	L	SH11	DL4
190	0.082	AU	H	L	L	SH11	DL4
191	0.056	AU	H	L	L	SH11	DL4
192	0.066	AU	H	L	L	SH11	DL4
193	0.067	AU	H	L	L	SH11	DL4
194	0.071	AU	H	L	L	SH11	DL4
195	0.07	AU	H	L	L	SH11	DL4
196	0.064	AU	H	L	L	SH11	DL4
197	0.06	AU	H	L	L	SH11	DL4
198	0.067	AU	H	L	L	SH11	DL4
199	0.056	AU	H	L	L	SH11	DL4
200	0.078	AU	H	L	L	SH11	DL4
201	0.067	AU	H	L	L	SH11	DL4
202	0.074	AU	H	L	H	SH11	DL4
203	0.077	AU	H	L	H	SH11	DL4
204	0.075	AU	H	L	H	SH11	DL4
205	0.07	AU	H	L	H	SH11	DL4
206	0.085	AU	H	L	H	SH11	DL4
207	0.09	AU	H	L	H	SH11	DL4
208	0.067	AU	H	L	H	SH11	DL4
209	0.089	AU	H	L	H	SH11	DL4
210	0.075	AU	H	L	H	SH11	DL4
211	0.066	AU	H	L	H	SH11	DL4
212	0.062	AU	H	L	H	SH11	DL4
213	0.075	AU	H	L	H	SH11	DL4
214	0.079	AU	H	L	H	SH11	DL4
215	0.071	AU	H	L	H	SH11	DL4
216	0.07	AU	H	L	H	SH11	DL4
217	0.078	AU	H	L	H	SH11	DL4
218	0.07	AU	H	L	H	SH11	DL4
219	0.065	AU	H	L	H	SH11	DL4
220	0.08	AU	H	L	H	SH11	DL4
221	0.064	AU	H	L	H	SH11	DL4
222	0.069	AU	H	L	H	SH11	DL4
223	0.067	AU	H	L	H	SH11	DL4
224	0.055	AU	H	L	H	SH11	DL4
225	0.068	AU	H	L	H	SH11	DL4
226	0.079	AU	H	L	H	SH11	DL4
227	0.078	AU	H	L	H	SH11	DL4
228	0.08	AU	H	L	H	SH11	DL4
229	0.065	AU	H	L	H	SH11	DL4
230	0.077	AU	H	L	H	SH11	DL4
231	0.072	AU	H	L	H	SH11	DL4
232	0.081	AU	H	L	H	SH11	DL4
233	0.102	AU	H	L	H	SH11	DL4
234	0.092	AU	H	L	H	SH11	DL4
235	0.067	AU	H	L	H	SH11	DL4
236	0.08	AU	H	L	H	SH11	DL4
237	0.083	AU	H	L	H	SH11	DL4
238	0.099	AU	H	L	H	SH11	DL4
239	0.1	AU	H	L	H	SH11	DL4
240	0.097	AU	H	L	H	SH11	DL4
241	0.076	AU	H	L	H	SH11	DL4
242	0.071	AU	H	L	H	SH11	DL4
243	0.077	AU	H	L	H	SH11	DL4
244	0.072	AU	H	L	H	SH11	DL4
245	0.077	AU	H	L	H	SH11	DL4
