animal	FATHER	MOTHER
277	SH11	DL5
278	SH11	DL5
279	SH11	DL5
280	SH11	DL5
281	SH11	DL5
282	SH11	DL5
283	SH11	DL5
284	SH11	DL5
285	SH11	DL5
286	SH11	DL5
287	SH11	DL5
288	SH11	DL5
289	SH11	DL5
290	SH11	DL5
291	SH11	DL5
292	SH11	DL5
293	SH11	DL5
294	SH11	DL5
295	SH11	DL5
296	SH11	DL5
297	SH11	DL5
298	SH11	DL5
299	SH11	DL5
300	SH11	DL5
301	SH11	DL5
302	SH11	DL5
303	SH11	DL5
304	SH11	DL5
305	SH11	DL5
306	SH11	DL5
307	SH11	DL5
308	SH11	DL5
309	SH11	DL5
310	SH11	DL5
311	SH11	DL5
312	SH11	DL5
313	SH11	DL5
314	SH11	DL5
315	SH11	DL5
316	SH11	DL5
317	SH11	DL5
318	SH11	DL5
319	SH11	DL5
320	SH11	DL5
321	SH11	DL5
322	SH11	DL5
323	SH11	DL5
324	SH11	DL5
325	SH11	DL5
326	SH11	DL5
327	SH11	DL5
328	SH11	DL5
329	SH11	DL5
330	SH11	DL5
331	SH11	DL5
332	SH11	DL5
333	SH11	DL5
334	SH11	DL5
335	SH11	DL5
336	SH11	DL5
337	SH11	DL5
338	SH11	DL5
339	SH11	DL5
340	SH11	DH4
341	SH11	DH4
342	SH11	DH4
343	SH11	DH4
344	SH11	DH4
345	SH11	DH4
346	SH11	DH4
347	SH11	DH4
348	SH11	DH4
349	SH11	DH4
350	SH11	DH4
351	SH11	DH4
352	SH11	DH4
353	SH11	DH4
354	SH11	DH4
355	SH11	DH4
356	SH11	DH4
357	SH11	DH4
358	SH11	DH4
359	SH11	DH4
360	SH11	DH4
361	SH11	DH4
362	SH11	DH4
363	SH11	DH4
364	SH11	DH4
365	SH11	DH4
366	SH11	DH4
367	SH11	DH4
368	SH11	DH4
369	SH11	DH4
370	SH11	DH4
371	SH11	DH4
372	SH11	DH4
373	SH11	DH4
374	SH11	DH4
375	SH11	DH4
376	SH11	DH4
377	SH11	DH4
378	SH11	DH4
379	SH11	DH4
380	SH11	DH4
381	SH11	DH4
382	SH11	DH4
383	SH11	DH4
384	SH11	DH4
385	SH11	DH4
386	SH11	DH4
387	SH11	DH4
388	SH11	DH4
389	SH11	DH4
390	SH11	DH4
391	SH11	DH4
392	SH11	DH4
393	SH11	DH4
394	SH11	DH4
395	SH11	DH4
396	SH11	DH4
397	SH11	DH4
398	SH11	DH4
399	SH11	DH4
400	SH11	DH4
401	SH11	DH4
402	SH11	DH4
403	SH11	DH4
404	SH11	DH4
405	SH11	DH4
406	SH11	DH4
407	SH11	DH5
408	SH11	DH5
409	SH11	DH5
410	SH11	DH5
411	SH11	DH5
412	SH11	DH5
413	SH11	DH5
414	SH11	DH5
415	SH11	DH5
416	SH11	DH5
417	SH11	DH5
418	SH11	DH5
419	SH11	DH5
420	SH11	DH5
421	SH11	DH5
422	SH11	DH5
423	SH11	DH5
424	SH11	DH5
425	SH11	DH5
426	SH11	DH5
427	SL6	DL8
428	SL6	DL8
429	SL6	DL8
430	SL6	DL8
431	SL6	DL8
432	SL6	DL8
433	SL6	DL8
434	SL6	DL8
435	SL6	DL8
436	SL6	DL8
437	SL6	DL8
438	SL6	DL8
439	SL6	DL8
440	SL6	DL8
441	SL6	DL8
442	SL6	DL8
443	SL6	DL8
444	SL6	DL8
445	SL6	DL8
446	SL6	DL8
447	SL6	DL8
448	SL6	DL8
449	SL6	DL8
450	SL6	DL8
451	SL6	DL8
452	SL6	DL8
453	SL6	DL8
454	SL6	DL8
455	SL6	DL8
456	SL6	DL8
457	SL6	DL8
458	SL6	DL8
459	SL6	DL8
460	SL6	DL8
461	SL6	DL8
462	SL6	DL8
463	SL6	DL8
464	SL6	DL8
465	SL6	DL8
466	SL6	DL8
467	SL6	DL8
468	SL6	DL8
469	SL6	DL8
470	SL6	DL8
471	SL6	DL8
472	SL6	DL8
473	SL6	DL8
474	SL6	DL8
475	SL6	DL8
476	SL6	DL8
477	SL6	DL8
478	SL6	DL8
479	SL6	DL8
480	SL6	DL8
481	SL6	DL8
482	SL6	DL8
483	SL6	DL8
484	SL6	DL8
485	SL6	DL8
486	SL6	DL8
487	SL6	DL8
488	SL6	DL8
489	SL6	DL8
490	SL6	DL8
491	SL6	DL8
492	SL6	DL8
493	SL6	DL8
494	SL6	DL8
495	SL6	DL8
496	SL6	DL8
497	SL6	DL8
498	SL6	DL8
499	SL6	DL8
500	SL6	DL8
501	SL6	DL8
502	SL6	DL8
503	SL6	DL8
504	SL6	DL8
505	SL6	DL8
506	SL6	DL8
507	SL6	DL8
508	SL6	DL8
509	SL6	DL8
510	SL6	DL8
511	SL6	DL8
512	SL6	DL8
513	SL6	DL8
514	SL6	DL8
515	SL6	DL8
516	SL6	DL8
517	SL6	DL8
518	SL6	DL8
519	SL6	DL8
520	SL6	DL8
521	SL6	DL8
522	SL6	DL8
523	SL6	DL8
524	SL6	DL8
525	SL6	DL8
526	SL6	DL8
527	SL6	DL8
528	SL6	DL8
529	SL6	DL8
530	SL6	DL8
531	SL6	DL8
532	SL6	DL8
533	SL6	DL8
534	SL6	DL8
535	SL6	DL9
536	SL6	DL9
537	SL6	DL9
538	SL6	DL9
539	SL6	DL9
540	SL6	DL9
541	SL6	DL9
542	SL6	DL9
543	SL6	DL9
544	SL6	DL9
545	SL6	DL9
546	SL6	DL9
547	SL6	DL9
548	SL6	DL9
549	SL6	DL9
550	SL6	DL9
551	SL6	DL9
552	SL6	DL9
553	SL6	DL9
554	SL6	DL9
555	SL6	DL9
556	SL6	DL9
557	SL6	DL9
558	SL6	DL9
559	SL6	DL9
560	SL6	DL9
561	SL6	DL9
562	SL6	DL9
563	SL6	DL9
564	SL6	DL9
565	SL6	DL9
566	SL6	DL9
567	SL6	DL9
568	SL6	DL9
569	SL6	DL9
570	SL6	DL9
571	SL6	DL9
572	SL6	DL9
573	SL6	DL9
574	SL6	DL9
575	SL6	DL9
576	SL6	DL9
577	SL6	DL9
578	SL6	DL9
579	SL6	DL9
580	SL6	DL9
581	SL6	DL9
582	SL6	DL9
583	SL6	DL9
584	SL6	DL9
585	SL6	DL9
586	SL6	DL9
587	SL6	DL9
588	SL6	DL9
589	SL6	DL9
590	SL6	DL9
591	SL6	DL9
592	SL6	DL9
593	SL6	DL9
594	SL6	DL9
595	SL6	DL9
596	SL6	DL9
597	SL6	DH4
598	SL6	DH4
599	SL6	DH4
600	SL6	DH4
601	SL6	DH4
602	SL6	DH4
603	SL6	DH4
604	SL6	DH4
605	SL6	DH4
606	SL6	DH4
607	SL6	DH4
608	SL6	DH4
609	SL6	DH4
610	SL6	DH4
611	SL6	DH4
612	SL6	DH4
613	SL6	DH4
614	SL6	DH4
615	SL6	DH4
616	SL6	DH4
617	SL6	DH4
618	SL6	DH4
619	SL6	DH4
620	SL6	DH4
621	SL6	DH4
622	SL6	DH4
623	SL6	DH4
624	SL6	DH4
625	SL6	DH4
626	SL6	DH4
627	SL6	DH4
628	SL6	DH4
629	SL6	DH4
630	SL6	DH4
631	SL6	DH4
632	SL6	DH4
633	SL6	DH4
634	SL6	DH4
635	SL6	DH4
636	SL6	DH4
637	SL6	DH4
638	SL6	DH4
639	SL6	DH4
640	SL6	DH4
641	SL6	DH4
642	SL6	DH4
643	SL6	DH4
644	SL6	DH4
645	SL6	DH4
646	SL6	DH5
647	SL6	DH5
648	SL6	DH5
649	SL6	DH5
650	SL6	DH5
651	SL6	DH5
652	SL6	DH5
653	SL6	DH5
654	SL6	DH5
655	SL6	DH5
656	SL6	DH5
657	SL6	DH5
658	SL6	DH5
659	SL6	DH5
660	SL6	DH5
661	SL6	DH5
662	SL6	DH5
663	SL6	DH5
664	SL6	DH5
665	SL6	DH5
666	SL6	DH5
667	SL6	DH5
668	SL6	DH5
669	SL6	DH5
670	SL6	DH5
671	SL6	DH5
672	SL6	DH5
673	SL6	DH5
674	SL6	DH5
675	SL6	DH5
676	SL6	DH5
677	SL6	DH5
678	SL6	DH5
679	SL6	DH5
680	SL6	DH5
681	SL6	DH5
682	SL6	DH5
683	SL6	DH5
684	SL6	DH5
